name,最終型態,最終幫忙間隔(秒),fruit,type,技能,最終進化階段,格子,食材1,食材1數量
妙蛙種子,妙蛙花,2800,金枕果,食材型,食材獲取S,3,27,甜甜蜜,2
妙蛙草,妙蛙花,2800,金枕果,食材型,食材獲取S,3,27,甜甜蜜,2
妙蛙花,妙蛙花,2800,金枕果,食材型,食材獲取S,3,27,甜甜蜜,2
小火龍,噴火龍,2400,蘋野果,食材型,食材獲取S,3,29,豆製肉,2
火恐龍,噴火龍,2400,蘋野果,食材型,食材獲取S,3,29,豆製肉,2
噴火龍,噴火龍,2400,蘋野果,食材型,食材獲取S,3,29,豆製肉,2
傑尼龜,水箭龜,2800,橙橙果,食材型,食材獲取S,3,27,哞哞鮮奶,2
卡咪龜,水箭龜,2800,橙橙果,食材型,食材獲取S,3,27,哞哞鮮奶,2
水箭龜,水箭龜,2800,橙橙果,食材型,食材獲取S,3,27,哞哞鮮奶,2
綠毛蟲,巴大蝶,2600,木子果,樹果型,食材獲取S,3,31,甜甜蜜,1
鐵甲蛹,巴大蝶,2600,木子果,樹果型,食材獲取S,3,31,甜甜蜜,1
巴大蝶,巴大蝶,2600,木子果,樹果型,食材獲取S,3,31,甜甜蜜,1
小拉達,拉達,3200,柿仔果,樹果型,活力填充S,2,21,特選蘋果,1
拉達,拉達,3200,柿仔果,樹果型,活力填充S,2,21,特選蘋果,1
阿柏蛇,阿柏怪,3700,零餘果,樹果型,活力填充S,2,19,豆製肉,1
阿柏怪,阿柏怪,3700,零餘果,樹果型,活力填充S,2,19,豆製肉,1
皮丘,雷丘,2200,萄葡果,樹果型,能量填充S,3,31,特選蘋果,1
皮卡丘,雷丘,2200,萄葡果,樹果型,能量填充S,3,31,特選蘋果,1
雷丘,雷丘,2200,萄葡果,樹果型,能量填充S,3,31,特選蘋果,1
皮卡丘(萬聖節),皮卡丘(萬聖節),2600,萄葡果,樹果型,能量填充Sn,1,18,特選蘋果,1
皮卡丘(佳節),皮卡丘(佳節),2600,萄葡果,技能型,夢之碎片獲取S,1,16,特選蘋果,1
六尾,九尾,,蘋野果,樹果型,活力療愈S,2,,萌綠大豆,1
六尾（阿拉羅的樣子）,九尾,,莓莓果,樹果型,幫手支援S,2,,萌綠大豆,1
九尾,九尾,,蘋野果,樹果型,活力療愈S,2,,萌綠大豆,1
九尾（阿拉羅的樣子）,九尾,,莓莓果,樹果型,幫手支援S,2,,萌綠大豆,1
